Date,Num_Coins
11/10/20,18539700
11/9/20,18538825
11/8/20,18537725
11/7/20,18536837.5
11/6/20,18535743.75
11/5/20,18534862.5
11/4/20,18533956.25
11/3/20,18533081.25
11/2/20,18532206.25
11/1/20,18531550
10/31/20,18530668.75
10/30/20,18530012.5
10/29/20,18529356.25
10/28/20,18528700
10/27/20,18528043.75
10/26/20,18527387.5
10/25/20,18526731.25
10/24/20,18526075
10/23/20,18524975
10/22/20,18524312.5
10/21/20,18523425
10/20/20,18522543.75
10/19/20,18521668.75
10/18/20,18520787.5
10/17/20,18520131.25
10/16/20,18519031.25
10/15/20,18518156.25
10/14/20,18517275
10/13/20,18516393.75
10/12/20,18515293.75
10/11/20,18514418.75
10/10/20,18513537.5
10/9/20,18512656.25
10/8/20,18511562.5
10/7/20,18510681.25
10/6/20,18509806.25
10/5/20,18508925
10/4/20,18508037.5
10/3/20,18506943.75
10/2/20,18506062.5
10/1/20,18505187.5
9/30/20,18504531.25
9/29/20,18503437.5
9/28/20,18502556.25
9/27/20,18501900
9/26/20,18500793.75
9/25/20,18499912.5
9/24/20,18498793.75
9/23/20,18497918.75
9/22/20,18497043.75
9/21/20,18496387.5
9/20/20,18495512.5
9/19/20,18494418.75
9/18/20,18493543.75
9/17/20,18492450
9/16/20,18491356.25
9/15/20,18490481.25
9/14/20,18489606.25
9/13/20,18488506.25
9/12/20,18487412.5
9/11/20,18486312.5
9/10/20,18485431.25
9/9/20,18484556.25
9/8/20,18483462.5
9/7/20,18482587.5
9/6/20,18481481.25
9/5/20,18480606.25
9/4/20,18479725
9/3/20,18478843.75
9/2/20,18477968.75
9/1/20,18477087.5
8/31/20,18476212.5
8/30/20,18475112.5
8/29/20,18474456.25
8/28/20,18473581.25
8/27/20,18472481.25
8/26/20,18471600
8/25/20,18470725
8/24/20,18470062.5
8/23/20,18468962.5
8/22/20,18468087.5
8/21/20,18467206.25
8/20/20,18466331.25
8/19/20,18465456.25
8/18/20,18464581.25
8/17/20,18463700
8/16/20,18462825
8/15/20,18461943.75
8/14/20,18460843.75
8/13/20,18459962.5
8/12/20,18458868.75
8/11/20,18457993.75
8/10/20,18456900
8/9/20,18456243.75
8/8/20,18455150
8/7/20,18454275
8/6/20,18453393.75
8/5/20,18452300
8/4/20,18451643.75
8/3/20,18450550
8/2/20,18449675
8/1/20,18448800
7/31/20,18447925
7/30/20,18446831.25
7/29/20,18446175
7/28/20,18445081.25
7/27/20,18444206.25
7/26/20,18443325
7/25/20,18442443.75
7/24/20,18441562.5
7/23/20,18440468.75
7/22/20,18439593.75
7/21/20,18438718.75
7/20/20,18437843.75
7/19/20,18436968.75
7/18/20,18436306.25
7/17/20,18435425
7/16/20,18434768.75
7/15/20,18433893.75
7/14/20,18433018.75
7/13/20,18432137.5
7/12/20,18431043.75
7/11/20,18430168.75
